Date,Open,High,Low,Close,Adj Close,Volume
2020-12-22,116.190002,116.260002,114.379997,114.550003,113.230011,3632300
2020-12-23,115.779999,118.190002,115.779999,116.949997,115.602333,2725200
2020-12-24,116.930000,117.440002,115.820000,117.349998,115.997742,707000
2020-12-28,118.050003,119.349998,117.599998,118.360001,116.996094,1878700
2020-12-29,119.239998,119.349998,118.000000,118.139999,116.778633,1860400
2020-12-30,118.250000,119.949997,118.150002,119.430000,118.053772,1954200
2020-12-31,119.709999,121.059998,119.160004,120.910004,119.516708,1747800
2021-01-04,121.300003,121.800003,116.849998,118.040001,116.679779,3472100
2021-01-05,118.260002,119.279999,117.099998,118.669998,117.302521,2112700
2021-01-06,121.000000,124.730003,120.809998,123.059998,121.641937,5861500
2021-01-07,124.099998,125.690002,117.349998,121.660004,120.679756,8696600
2021-01-08,122.070000,122.199997,119.519997,121.779999,120.798782,2934500
2021-01-11,120.419998,121.410004,119.389999,121.059998,120.084579,3311000
2021-01-12,122.000000,122.320000,120.720001,121.620003,120.640068,2671300
2021-01-13,121.599998,123.889999,121.160004,122.400002,121.413788,3678300
2021-01-14,122.650002,124.500000,122.089996,123.779999,122.782661,3404700
2021-01-15,122.480003,122.860001,121.709999,122.150002,121.165794,3948200
2021-01-19,125.489998,128.059998,124.239998,126.750000,125.728729,5818500
2021-01-20,127.190002,129.539993,127.070000,128.940002,127.901093,4090200
2021-01-21,128.289993,128.889999,126.099998,127.430000,126.403252,3654900
2021-01-22,125.739998,127.059998,124.879997,126.139999,125.123650,2954800
2021-01-25,124.239998,125.000000,120.320000,121.150002,120.173859,6156700
2021-01-26,118.750000,120.290001,115.720001,116.150002,115.214149,8932500
2021-01-27,114.860001,116.800003,112.099998,114.089996,113.170738,5816900
2021-01-28,117.430000,120.379997,116.599998,118.970001,118.011421,5788500
2021-01-29,117.739998,118.389999,115.809998,116.260002,115.323265,5059300
2021-02-01,117.699997,119.290001,117.000000,117.029999,116.087051,3359800
2021-02-02,118.290001,122.419998,118.279999,120.699997,119.727478,4036700
2021-02-03,120.080002,120.980003,119.559998,120.440002,119.469574,2782500
2021-02-04,120.989998,125.410004,120.800003,124.900002,123.893639,3915900
2021-02-05,126.620003,127.339996,125.629997,126.279999,125.262520,3184200
2021-02-08,126.870003,128.399994,126.750000,127.989998,126.958740,3360900
2021-02-09,127.650002,127.660004,126.199997,126.680000,125.659302,2175000
2021-02-10,127.629997,128.699997,126.839996,128.229996,127.196808,2929100
2021-02-11,127.449997,129.119995,126.980003,128.309998,127.276161,3733000
2021-02-12,128.190002,130.460007,128.000000,129.619995,128.575607,2873300
2021-02-16,128.910004,130.910004,128.250000,130.679993,129.627060,2730600
2021-02-17,130.080002,131.160004,128.440002,128.559998,127.524147,3088800
2021-02-18,127.489998,128.830002,126.080002,128.490005,127.454720,2269700
2021-02-19,129.490005,133.360001,129.490005,131.710007,130.648773,3419500
2021-02-22,131.509995,136.470001,131.369995,135.949997,134.854599,3923100
2021-02-23,136.470001,138.309998,134.279999,136.940002,135.836624,4814400
2021-02-24,137.199997,140.949997,136.809998,139.889999,138.762863,4099500
2021-02-25,140.619995,140.639999,136.369995,137.080002,135.975494,3607500
2021-02-26,137.100006,138.250000,133.789993,135.259995,134.170166,3654800
2021-03-01,138.179993,139.770004,138.119995,138.710007,137.592377,2972100
2021-03-02,138.240005,140.190002,138.080002,139.250000,138.128021,2929100
2021-03-03,140.000000,144.250000,140.000000,142.589996,141.441116,4393700
2021-03-04,142.149994,144.110001,139.949997,142.679993,141.530365,4461700
2021-03-05,144.660004,147.960007,142.080002,147.330002,146.142929,5048300
2021-03-08,147.279999,151.460007,146.720001,150.270004,149.059235,4283400
2021-03-09,148.580002,149.080002,144.110001,145.100006,143.930893,5806100
2021-03-10,145.699997,148.289993,145.440002,146.750000,145.567596,3049800
2021-03-11,146.000000,147.820007,145.130005,147.750000,146.559525,3147700
2021-03-12,149.100006,150.639999,148.020004,148.539993,147.343155,2420100
2021-03-15,148.039993,148.919998,146.029999,146.990005,145.805664,2586300
2021-03-16,147.250000,147.259995,142.820007,143.300003,142.145386,4031000
2021-03-17,144.759995,144.820007,141.899994,144.679993,143.514252,3278500
2021-03-18,145.490005,145.500000,142.070007,142.580002,141.431198,3173600
2021-03-19,141.899994,141.940002,139.740005,140.710007,139.576263,5098300
2021-03-22,139.490005,140.990005,138.809998,139.949997,138.822372,2274100
2021-03-23,138.940002,139.500000,135.130005,136.080002,134.983566,4905400
2021-03-24,137.970001,140.039993,137.610001,138.419998,137.304703,2638900
2021-03-25,137.949997,142.529999,136.759995,142.279999,141.133591,2766400
2021-03-26,143.740005,143.979996,141.050003,143.729996,142.571915,2687500
2021-03-29,141.979996,143.070007,140.309998,142.369995,141.222885,2220600
2021-03-30,142.899994,144.479996,142.610001,143.490005,142.333862,2034500
2021-03-31,142.979996,143.259995,141.350006,141.440002,140.722092,2957300
2021-04-01,142.339996,144.630005,142.210007,144.570007,143.836197,2629200
2021-04-05,146.910004,147.479996,145.610001,146.059998,145.318634,2960100
2021-04-06,145.979996,146.529999,144.380005,146.149994,145.408157,2851200
2021-04-07,147.419998,148.360001,145.720001,147.130005,146.383209,2399500
2021-04-08,146.800003,147.160004,144.679993,147.039993,146.293655,2295600
2021-04-09,148.210007,148.440002,146.690002,147.779999,147.029892,1783400
2021-04-12,147.259995,147.770004,146.410004,147.570007,146.820984,1869000
2021-04-13,146.550003,146.600006,143.839996,145.990005,145.248978,2132100
2021-04-14,145.809998,148.750000,145.699997,147.419998,146.671722,2141800
2021-04-15,147.509995,148.589996,145.500000,148.529999,147.776093,2901200
2021-04-16,149.710007,150.449997,148.690002,149.990005,149.228683,3480000
2021-04-19,149.190002,149.509995,147.800003,148.539993,147.786041,2259100
2021-04-20,147.210007,147.500000,144.509995,145.100006,144.363510,2526700
2021-04-21,144.000000,147.380005,143.020004,147.179993,146.432938,2161700
2021-04-22,147.570007,148.919998,145.869995,147.160004,146.413040,3247300
2021-04-23,141.539993,144.979996,140.679993,144.330002,143.597412,6395300
2021-04-26,146.800003,151.119995,145.559998,150.339996,149.576889,4821100
2021-04-27,150.699997,150.880005,148.850006,150.360001,149.596802,2692100
2021-04-28,150.679993,153.460007,149.440002,152.539993,151.765732,2584500
2021-04-29,153.850006,155.080002,152.089996,154.630005,153.845139,2636000
2021-04-30,153.600006,154.039993,152.479996,153.350006,152.571625,2712700
2021-05-03,154.589996,156.050003,154.009995,154.800003,154.014282,2726200
2021-05-04,154.479996,155.740005,152.839996,154.529999,153.745636,3025100
2021-05-05,154.869995,156.729996,154.320007,156.389999,155.596191,3001600
2021-05-06,156.860001,157.509995,154.020004,156.880005,156.083725,2798800
2021-05-07,155.610001,159.259995,155.339996,158.979996,158.173035,2617800
2021-05-10,159.750000,160.690002,158.500000,158.679993,157.874557,2987600
2021-05-11,156.460007,157.789993,153.649994,154.429993,153.646149,3900100
2021-05-12,154.720001,155.899994,152.070007,152.300003,151.526962,3487400
2021-05-13,152.410004,154.809998,151.809998,154.080002,153.297928,2269700
2021-05-14,155.389999,157.940002,154.529999,157.149994,156.352341,1892700
2021-05-17,157.050003,157.380005,155.880005,156.860001,156.063812,1541400
2021-05-18,157.360001,158.300003,154.860001,154.990005,154.203308,2417800
2021-05-19,152.070007,154.779999,151.720001,154.729996,153.944626,3526800
2021-05-20,155.470001,156.250000,153.929993,155.529999,154.740555,3031100
2021-05-21,156.699997,158.809998,156.350006,156.869995,156.073746,3424100
2021-05-24,157.699997,158.910004,156.949997,158.639999,157.834778,1956900
2021-05-25,159.070007,160.080002,157.740005,158.009995,157.207962,2484200
2021-05-26,158.160004,159.380005,157.369995,158.580002,157.775085,3731600
2021-05-27,159.979996,160.289993,158.850006,159.740005,158.929199,2828400
2021-05-28,160.259995,160.639999,158.860001,160.130005,159.317215,2436400
2021-06-01,162.509995,164.110001,161.550003,163.759995,162.928772,3827800
2021-06-02,164.610001,165.690002,163.320007,164.119995,163.286957,3384600
2021-06-03,163.679993,165.419998,162.820007,164.520004,163.684937,2454800
2021-06-04,165.000000,165.729996,163.320007,165.000000,164.162491,3239300
2021-06-07,165.630005,166.649994,165.369995,165.919998,165.077820,2516400
2021-06-08,164.860001,167.139999,163.630005,166.509995,165.664825,2486300
2021-06-09,165.270004,166.139999,163.800003,164.089996,163.257111,2700100
2021-06-10,165.179993,165.210007,162.119995,162.229996,161.406555,3024500
2021-06-11,163.000000,164.539993,162.509995,164.509995,163.674988,1630100
2021-06-14,164.300003,164.880005,163.110001,163.809998,162.978531,2125700
2021-06-15,163.929993,166.899994,163.800003,166.270004,165.426056,3726100
2021-06-16,165.779999,166.649994,164.270004,164.679993,163.844116,3281300
2021-06-17,165.970001,166.000000,160.529999,162.130005,161.307068,4194400
2021-06-18,158.699997,159.669998,157.250000,158.169998,157.367157,6900200
2021-06-21,160.080002,165.210007,159.130005,164.899994,164.062988,3681400
2021-06-22,163.419998,165.240005,162.460007,164.500000,163.665024,2697600
2021-06-23,165.029999,166.860001,164.789993,166.020004,165.177322,2327600
2021-06-24,167.059998,168.580002,166.410004,168.210007,167.356201,2417100
2021-06-25,168.449997,170.410004,168.449997,169.449997,168.589905,9186000
2021-06-28,168.619995,168.850006,163.199997,164.779999,163.943619,3433400
2021-06-29,165.570007,166.320007,163.229996,164.250000,163.416306,2785900
2021-06-30,163.699997,166.160004,163.699997,165.229996,164.391327,2331800
2021-07-01,165.649994,167.369995,164.690002,166.940002,166.526031,2685900
2021-07-02,167.699997,168.979996,167.009995,168.500000,168.082153,2028700
2021-07-06,172.539993,172.539993,167.800003,169.559998,169.139526,4688100
2021-07-07,169.600006,174.759995,169.380005,170.979996,170.556000,3998900
2021-07-08,166.949997,170.039993,165.589996,167.500000,167.084641,4628400
2021-07-09,170.000000,172.309998,169.210007,171.940002,171.513626,3175200
2021-07-12,170.070007,174.100006,169.880005,173.600006,173.169510,3154100
2021-07-13,174.000000,174.740005,172.419998,172.619995,172.191940,2675000
2021-07-14,172.860001,174.550003,171.009995,172.520004,172.092194,3123100
2021-07-15,171.139999,173.259995,171.100006,172.850006,172.421371,3448200
2021-07-16,173.740005,173.789993,169.539993,170.009995,169.588409,4359800
2021-07-19,165.649994,166.380005,161.479996,162.809998,162.406265,6739800
2021-07-20,162.940002,169.580002,162.570007,168.869995,168.451233,4243700
2021-07-21,170.740005,173.619995,169.740005,172.509995,172.082199,3384500
2021-07-22,172.250000,173.210007,169.050003,170.899994,170.476196,3335900
2021-07-23,176.529999,179.669998,172.949997,173.179993,172.750549,6326600
2021-07-26,173.250000,175.429993,172.300003,172.610001,172.181961,3115900
2021-07-27,170.460007,175.119995,169.960007,172.940002,172.511154,7922600
2021-07-28,173.000000,173.449997,169.710007,170.020004,169.598389,7961700
2021-07-29,171.389999,173.820007,171.000000,171.949997,171.523590,3186900
2021-07-30,172.320007,173.240005,169.820007,170.529999,170.107117,3441900
2021-08-02,171.139999,173.360001,168.759995,169.270004,168.850250,2895700
2021-08-03,169.750000,170.289993,165.300003,169.039993,168.620804,3642000
2021-08-04,168.300003,170.440002,167.320007,168.059998,167.643250,3544400
2021-08-05,168.660004,170.529999,168.320007,169.630005,169.209351,2535400
2021-08-06,170.529999,172.850006,169.740005,171.360001,170.935059,2828700
2021-08-09,170.350006,171.119995,168.789993,170.779999,170.356506,2560200
2021-08-10,170.729996,171.699997,168.679993,169.490005,169.069702,3389500
2021-08-11,169.449997,170.729996,168.669998,170.669998,170.246765,3843400
2021-08-12,170.020004,170.110001,167.970001,168.520004,168.102112,3372800
2021-08-13,168.089996,168.300003,165.610001,166.080002,165.668152,4155900
2021-08-16,164.770004,165.899994,162.630005,165.750000,165.338974,3845400
2021-08-17,164.759995,166.350006,163.350006,164.649994,164.241699,7631600
2021-08-18,163.830002,165.139999,162.059998,162.130005,161.727951,3563700
2021-08-19,160.160004,161.089996,157.330002,159.029999,158.635635,4256400
2021-08-20,158.850006,159.990005,158.059998,159.750000,159.353851,3074600
2021-08-23,161.229996,161.850006,160.110001,160.449997,160.052109,2006300
2021-08-24,160.600006,161.899994,160.190002,161.199997,160.800247,2377600
2021-08-25,161.880005,167.229996,160.500000,166.179993,165.767899,3579900
2021-08-26,165.970001,166.500000,164.380005,165.509995,165.099564,3164700
2021-08-27,165.350006,168.889999,165.160004,168.649994,168.231781,3002300
2021-08-30,168.160004,168.300003,164.210007,164.259995,163.852661,2582100
2021-08-31,164.100006,166.429993,163.720001,165.960007,165.548462,3536300
2021-09-01,166.339996,167.279999,164.130005,164.440002,164.032227,2569000
2021-09-02,165.050003,165.080002,161.139999,162.050003,161.648148,4350600
2021-09-03,160.750000,161.279999,158.169998,159.300003,158.904968,4206500
2021-09-07,158.869995,160.660004,158.570007,159.720001,159.323929,3779000
2021-09-08,159.190002,159.259995,156.800003,158.929993,158.535873,3056700
2021-09-09,158.779999,162.149994,158.539993,159.389999,158.994751,3295800
2021-09-10,161.169998,161.460007,158.389999,158.720001,158.326416,2943000
2021-09-13,160.639999,161.800003,159.750000,161.449997,161.049637,3192500
2021-09-14,162.679993,165.830002,158.779999,159.479996,159.084518,4281500
2021-09-15,160.020004,162.309998,159.210007,161.339996,160.939911,2933100
2021-09-16,163.100006,164.500000,162.199997,162.630005,162.226715,2765000
2021-09-17,161.570007,164.250000,161.570007,163.919998,163.513504,6390600
2021-09-20,159.360001,162.139999,157.949997,160.570007,160.171829,5976900
2021-09-21,161.910004,165.350006,161.690002,163.270004,162.865128,3480600
2021-09-22,165.619995,168.619995,164.899994,167.490005,167.074661,3562800
2021-09-23,169.490005,174.100006,169.309998,173.360001,172.930099,4399200
2021-09-24,173.369995,176.000000,173.300003,175.720001,175.284256,2680400
2021-09-27,177.669998,178.800003,176.330002,176.770004,176.331650,3703300
2021-09-28,175.490005,177.240005,172.690002,173.139999,172.710648,3862200
2021-09-29,172.889999,172.979996,170.399994,171.539993,171.114609,2726100
2021-09-30,172.179993,172.360001,167.410004,167.529999,167.114563,3088200
2021-10-01,168.500000,175.119995,168.479996,173.940002,173.508667,3956000
2021-10-04,173.880005,177.229996,171.880005,172.660004,172.231842,3613900
2021-10-05,173.429993,176.059998,172.639999,174.759995,174.326630,2629400
2021-10-06,172.550003,174.899994,169.899994,173.399994,172.970001,2922200
2021-10-07,175.500000,176.869995,173.699997,174.289993,174.289993,3578800
2021-10-08,173.850006,176.979996,173.529999,175.149994,175.149994,2374800
2021-10-11,175.789993,176.789993,173.330002,173.460007,173.460007,2499200
2021-10-12,173.610001,176.559998,173.100006,174.910004,174.910004,3069500
2021-10-13,172.779999,174.089996,167.080002,168.720001,168.720001,5608100
2021-10-14,171.000000,172.380005,169.809998,171.509995,171.509995,3061900
2021-10-15,173.770004,177.770004,173.149994,175.809998,175.809998,3042400
2021-10-18,175.580002,177.610001,174.330002,176.820007,176.820007,2623300
2021-10-19,177.729996,178.000000,176.259995,177.309998,177.309998,1400100
2021-10-20,176.949997,179.770004,176.210007,179.600006,179.600006,2398500
2021-10-21,179.580002,179.789993,176.009995,177.470001,177.470001,3313800
2021-10-22,185.000000,189.029999,182.199997,187.080002,187.080002,6026100
2021-10-25,186.729996,187.210007,181.830002,182.309998,182.309998,3889600
2021-10-26,183.419998,183.500000,177.520004,180.949997,180.949997,3832200
2021-10-27,180.100006,183.729996,177.910004,178.029999,178.029999,3309900
2021-10-28,178.399994,179.229996,173.020004,174.610001,174.610001,4865700
2021-10-29,175.630005,176.669998,173.039993,173.779999,173.779999,3454400
2021-11-01,174.580002,176.070007,173.339996,174.210007,174.210007,2250400
2021-11-02,175.000000,175.199997,172.570007,173.169998,173.169998,3252900
2021-11-03,172.699997,173.830002,171.750000,172.610001,172.610001,3831200
2021-11-04,172.130005,174.020004,171.660004,172.529999,172.529999,3315400
2021-11-05,176.179993,177.789993,175.350006,176.690002,176.690002,3933700
2021-11-08,178.070007,182.089996,177.789993,180.050003,180.050003,3392000
2021-11-09,179.759995,181.190002,178.429993,179.860001,179.860001,3203300
2021-11-10,179.360001,183.479996,179.360001,181.389999,181.389999,3296700
2021-11-11,181.990005,182.729996,180.740005,181.300003,181.300003,2119700
2021-11-12,180.710007,182.380005,179.649994,181.889999,181.889999,2390200
2021-11-15,182.529999,183.929993,182.039993,183.130005,183.130005,1748300
2021-11-16,183.399994,183.399994,179.740005,180.919998,180.919998,3299200
2021-11-17,181.179993,181.740005,178.199997,179.610001,179.610001,3543500
2021-11-18,180.000000,180.369995,175.839996,176.210007,176.210007,4011500
2021-11-19,173.729996,175.270004,171.839996,173.539993,173.539993,4456500
2021-11-22,174.990005,175.250000,170.889999,170.899994,170.899994,4651700
2021-11-23,171.300003,171.949997,167.830002,170.850006,170.850006,5890300
2021-11-24,168.479996,171.979996,167.899994,171.610001,171.610001,3590600
2021-11-26,165.089996,165.240005,154.500000,156.820007,156.820007,6804200
2021-11-29,160.750000,161.410004,154.339996,157.860001,157.860001,6258500
2021-11-30,155.089996,155.869995,151.699997,152.300003,152.300003,7444900
2021-12-01,156.100006,157.070007,149.889999,150.059998,150.059998,6145500
2021-12-02,151.679993,157.910004,151.460007,156.770004,156.770004,6289300
2021-12-03,158.080002,158.330002,153.630005,155.940002,155.940002,4069000
2021-12-06,159.070007,162.740005,158.050003,160.679993,160.679993,4141900
2021-12-07,164.500000,169.160004,164.160004,166.949997,166.949997,5124500
2021-12-08,167.979996,170.539993,167.279999,168.929993,168.929993,4042400
2021-12-09,167.850006,168.830002,166.550003,168.020004,168.020004,2245300
2021-12-10,169.380005,170.580002,165.960007,167.029999,167.029999,2764100
2021-12-13,166.399994,166.399994,161.990005,163.300003,163.300003,3477600
2021-12-14,162.139999,165.259995,161.059998,162.850006,162.850006,2964200
2021-12-15,162.710007,163.050003,158.529999,162.240005,162.240005,5013000
2021-12-16,164.000000,165.179993,161.899994,163.000000,163.000000,4900100
2021-12-17,161.000000,161.320007,156.949997,160.009995,160.009995,9576800
2021-12-20,157.000000,158.210007,153.779999,155.889999,155.889999,3839600
2021-12-21,157.750000,161.050003,157.520004,160.910004,160.910004,3722400
