Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SCS01G01Z90,2009.06,2903,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2010.06,-3564,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2011.06,-13093,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2012.06,-3915,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2013.06,-1191,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2014.06,987,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2015.06,3297,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2016.06,4854,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2017.06,6794,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2018.06,7388,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2019.06,8291,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2020.06,-14972,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z91,2009.06,869,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2010.06,-5363,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2011.06,-14013,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2012.06,-5119,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2013.06,-2423,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2014.06,-1062,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2015.06,710,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2016.06,2059,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2017.06,4102,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2018.06,3734,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2019.06,4532,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2020.06,-17589,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G02121,2009.06,2278,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2010.06,2523,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2011.06,2745,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2012.06,2782,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2013.06,2514,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2014.06,2618,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2015.06,2392,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2016.06,2049,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2017.06,2063,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2018.06,1992,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2019.06,2169,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2020.06,2178,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02140,2009.06,579,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2010.06,439,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2011.06,396,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2012.06,365,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2013.06,409,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2014.06,380,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2015.06,282,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2016.06,219,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2017.06,191,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2018.06,232,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2019.06,222,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02140,2020.06,206,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SCS01G02142,2009.06,3834,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2010.06,4109,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2011.06,4416,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2012.06,4768,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2013.06,4804,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2014.06,4901,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2015.06,4852,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2016.06,5282,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SCS01G02142,2017.06,5564,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Sales of goods and services,,,,
